Label,FilmSimulation,Grain,CCFx/CCFxB,WhiteBalance,WBShiftR,WBShiftB,DynamicRange,HighlightTone,ShadowTone,Color,Sharpness,NoisReduction,ExposureBias
RR Jeff Davenport Night,NEGAhi,WEAK,STRONG/OFF,2650K,-1,4,400,1,0,2,1,-4,0
RR Pro Neg HI,NEGAhi,WEAK,OFF,Auto,0,0,200,-1,-1,1,1,-3,P0P33
VM Pro Neg High,NEGAhi,OFF,OFF,Auto,0,-1,100,0,-1,2,1,-2,0
VM VintageK,NEGAhi,WEAK,OFF,Auto,3,-2,100,1,0,-4,-4,-4,0
VM Vision; Film 500 Daylight,NEGAhi,WEAK,OFF,Auto,0,-3,200,0,-2,0,-1,-4,0
GB Balan Colour,Provia,WEAK,OFF/WEAK,Auto,0,0,400,-1,-1,0,1,-4,0
MT Provia,Provia,OFF,WEAK/OFF,Auto,1,0,WEAK,0,0,-1,0,0,0
PE Provia Sternfeld,Provia,OFF,OFF,Auto,0,0,AUTO,-2,-1,-3,-1,-3,0
RR Agfa Optima,Provia,WEAK,OFF,Auto,-1,-1,100,-2,2,-2,0,-3,P0P67
RR Cross Process,Provia,STRONG,OFF,Auto,-3,-8,200,2,3,4,0,-3,P0P67
RR Fujichrome Sensia 100,Provia,WEAK,OFF,FLight2,-1,-3,400,0,2,0,1,-4,P0P67
RR Fujicolor Pro 400H OverExposed,Provia,WEAK,OFF,Auto,2,2,400,-2,4,1,1,-4,P1P00
MT Monochrome Sepia,Sepia,STRONG,OFF,Auto,0,0,STRONG,0,0,0,-4,4,0
BT Velvia Travel,Velvia,OFF,OFF,Auto,0,0,AUTO,0,3,1,1,-2,0
GB Colour,Velvia,OFF,OFF,Auto,0,0,100,-1,2,2,2,-1,0
GB Taste Rainbows,Velvia,OFF,OFF,Daylight,0,0,400,0,2,2,1,-4,0
HF Vibrant Color,Velvia,OFF,OFF,Auto,0,0,AUTO,-1,2,2,1,0,0
JC Velvia LS,Velvia,OFF,OFF,Auto,1,0,AUTO,-1,3,4,2,-1,0
JP Bright Landscape,Velvia,OFF,OFF,5000K,0,0,AUTO,1,1,2,0,-2,0
KM Martin Parr,Velvia,OFF,OFF,Auto,0,0,AUTO,-1,2,2,2,-1,0
MT Velvia,Velvia,OFF,WEAK/OFF,Auto,2,0,STRONG,0,0,-4,0,0,0
PE Velvia Bulmer,Velvia,WEAK,OFF,Auto,0,0,AUTO,-2,2,-2,-1,-3,0
RR Ektachrome 100SW,Velvia,WEAK,OFF,Auto,3,-4,200,1,2,-1,0,-3,P0P33
RR Lomography Color 100,Velvia,WEAK,WEAK/OFF,Shade,-3,7,400,1,1,-3,1,-4,P0P33
RR Split-Tones B&W 2/2,Velvia,WEAK,STRONG/OFF,Auto,0,0,200,4,4,2,1,-4,M1P00
RR Velvia,Velvia,WEAK,OFF,Auto,1,-1,200,-1,0,2,2,-2,P0P67
RR Velvia,Velvia,WEAK,STRONG/OFF,Auto,1,-1,AUTO,0,1,3,2,-4,M0M33
VM Valvia Fujipro Color Cast,Velvia,OFF,OFF,Auto,-2,-3,400,-2,-1,-4,-2,4,P0P67
VM Velvia,Velvia,OFF,OFF,Auto,0,-1,100,0,-1,2,2,-4,0
